Zero_Crossings,Spectral_Centroid,Spectral_Rolloff,MFCC,Chroma_Frequency,LPCC,Spectral_Bandwidth,Spectral_Flux,Spectral_Contrast,Energy,Tempo,F0,Intensity,Label
81,0.4466819265237216,2726.9594938858695,"[5.923443e-09, 0.0, 1.0366025e-08, 1.1846886e-08, -2.9617215e-09, 2.9617215e-09, 5.923443e-09, -1.1846886e-08, 1.6289468e-08, 1.1846886e-08, 5.923443e-09, 1.1846886e-08, 1.1846886e-08, 1.1846886e-08, 0.0, 0.0, 4.8127973e-09, -1.1846886e-08, 0.0, 0.0]",0.46792924,0.0068101496,2591.2439571987197,1.3939264,22.866019094296814,0.03321196,[135.95383523 140.95383523],466.3122273515185,0.05396484,Angry
94,0.5009427571999315,1397.2246561964898,"[8.16502e-09, 2.6128063e-08, 0.0, -6.532016e-09, 0.0, 6.532016e-09, -3.266008e-09, -9.798024e-09, -1.3064032e-08, -1.3064032e-08, -6.532016e-09, 2.6128063e-08, 0.0, 0.0, 6.532016e-09, -3.266008e-09, 0.0, 0.0, -3.266008e-09, -1.5309413e-09]",0.5679933,0.005567773,2849.8444427303284,1.3412032,19.56055168441072,0.0032929827,[ 89.99954044  98.49954044 106.99954044 115.99954044],396.6853726290781,0.005782622,Angry
6,0.33310643414021585,2454.395061990489,"[1.3821367e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4553418e-09, -1.2093696e-08, -1.3821367e-08, 1.3821367e-08, -1.3821367e-08, 5.1830127e-09, -3.4553418e-09, 1.3821367e-08, -2.7642734e-08, 0.0, -1.3821367e-08, 6.9106836e-09, -1.3821367e-08, -6.9106836e-09]",0.44901708,0.0076830913,2682.2947100939878,1.3426563,21.49866404566221,0.020142294,[100.6328125 108.1328125 115.6328125],297.28921428765636,0.03543276,Angry
1,0.292448810647388,1821.478271484375,"[1.70299e-08, 0.0, 4.6832223e-09, 0.0, -9.3664445e-09, 0.0, 2.7247838e-08, 0.0, 2.7247838e-08, 1.3623919e-08, -1.3623919e-08, 1.3623919e-08, 0.0, 6.8119594e-09, 0.0, 0.0, 0.0, 6.8119594e-09, 0.0, -2.7247838e-08]",0.4893956,0.0069893864,2455.9796955239353,1.9577456,21.33691859636467,0.0036200592,[63.83300781 75.83300781 86.83300781],263.1999780712409,0.006351993,Angry
21,0.3206055952429991,2871.3314233236756,"[-1.18419825e-08, -1.2631448e-08, 3.157862e-09, 0.0, 6.315724e-09, 6.315724e-09, 0.0, -4.736793e-09, 2.2105034e-08, -3.157862e-09, 1.2631448e-08, 0.0, -3.157862e-09, 1.2631448e-08, 1.2631448e-08, 1.2631448e-08, 1.2631448e-08, 0.0, 1.2631448e-08, -1.578931e-09]",0.4350193,0.006838797,2638.6588503099083,1.3754611,21.30049607665288,0.02447148,[80.49958882 90.49958882 99.99958882],313.20026632868183,0.04175341,Angry
81,0.4466819265237216,2726.9594938858695,"[5.923443e-09, 0.0, 1.0366025e-08, 1.1846886e-08, -2.9617215e-09, 2.9617215e-09, 5.923443e-09, -1.1846886e-08, 1.6289468e-08, 1.1846886e-08, 5.923443e-09, 1.1846886e-08, 1.1846886e-08, 1.1846886e-08, 0.0, 0.0, 4.8127973e-09, -1.1846886e-08, 0.0, 0.0]",0.46792924,0.0068101496,2591.2439571987197,1.3939264,22.866019094296814,0.03321196,[135.95383523 140.95383523],466.3122273515185,0.05396484,Fearful
94,0.5009427571999315,1397.2246561964898,"[8.16502e-09, 2.6128063e-08, 0.0, -6.532016e-09, 0.0, 6.532016e-09, -3.266008e-09, -9.798024e-09, -1.3064032e-08, -1.3064032e-08, -6.532016e-09, 2.6128063e-08, 0.0, 0.0, 6.532016e-09, -3.266008e-09, 0.0, 0.0, -3.266008e-09, -1.5309413e-09]",0.5679933,0.005567773,2849.8444427303284,1.3412032,19.56055168441072,0.0032929827,[ 89.99954044  98.49954044 106.99954044 115.99954044],396.6853726290781,0.005782622,Fearful
6,0.33310643414021585,2454.395061990489,"[1.3821367e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4553418e-09, -1.2093696e-08, -1.3821367e-08, 1.3821367e-08, -1.3821367e-08, 5.1830127e-09, -3.4553418e-09, 1.3821367e-08, -2.7642734e-08, 0.0, -1.3821367e-08, 6.9106836e-09, -1.3821367e-08, -6.9106836e-09]",0.44901708,0.0076830913,2682.2947100939878,1.3426563,21.49866404566221,0.020142294,[100.6328125 108.1328125 115.6328125],297.28921428765636,0.03543276,Fearful
1,0.292448810647388,1821.478271484375,"[1.70299e-08, 0.0, 4.6832223e-09, 0.0, -9.3664445e-09, 0.0, 2.7247838e-08, 0.0, 2.7247838e-08, 1.3623919e-08, -1.3623919e-08, 1.3623919e-08, 0.0, 6.8119594e-09, 0.0, 0.0, 0.0, 6.8119594e-09, 0.0, -2.7247838e-08]",0.4893956,0.0069893864,2455.9796955239353,1.9577456,21.33691859636467,0.0036200592,[63.83300781 75.83300781 86.83300781],263.1999780712409,0.006351993,Fearful
21,0.3206055952429991,2871.3314233236756,"[-1.18419825e-08, -1.2631448e-08, 3.157862e-09, 0.0, 6.315724e-09, 6.315724e-09, 0.0, -4.736793e-09, 2.2105034e-08, -3.157862e-09, 1.2631448e-08, 0.0, -3.157862e-09, 1.2631448e-08, 1.2631448e-08, 1.2631448e-08, 1.2631448e-08, 0.0, 1.2631448e-08, -1.578931e-09]",0.4350193,0.006838797,2638.6588503099083,1.3754611,21.30049607665288,0.02447148,[80.49958882 90.49958882 99.99958882],313.20026632868183,0.04175341,Fearful
87,0.382709949981363,2119.4998013771187,"[-1.6163971e-08, 2.1551962e-08, 1.0775981e-08, 1.3469976e-09, 2.1551962e-08, 1.683747e-09, -1.4143475e-08, -2.6939952e-09, 1.4816973e-08, -4.040993e-09, -1.6163971e-08, -5.3879905e-09, -1.0775981e-08, 0.0, -2.6939952e-09, 1.0102482e-08, 1.6163971e-08, 1.2122978e-08, 5.3879905e-09, 5.3879905e-09]",0.4140474,0.013645741,2177.911800142168,1.3562359,21.065083267856075,0.005980937,"[107.28515625 114.28515625 122.78515625 130.78515625 137.78515625
 145.28515625 152.28515625]",370.7022183302148,0.009847293,Disgusted
49,0.3890154889891931,1578.1034751756656,"[1.9750651e-08, 0.0, 0.0, 1.1286087e-08, 0.0, -5.6430434e-09, 5.6430434e-09, -1.1286087e-08, 5.6430434e-09, -5.6430434e-09, -1.1286087e-08, 1.1286087e-08, 0.0, -1.1286087e-08, -8.464565e-09, -5.6430434e-09, 1.1286087e-08, 2.2572173e-08, 2.8215217e-09, 0.0]",0.47612375,0.009962385,2518.04617321703,1.4817239,21.607679332555232,0.0042189616,[67.17357337 78.67357337 90.17357337],336.00105441142205,0.0072839516,Disgusted
60,0.533773855125087,1571.923828125,"[-2.1674417e-08, -1.2385381e-08, 0.0, -3.0963452e-09, -6.1926904e-09, 1.5481726e-09, 2.4770761e-08, 1.2385381e-08, -2.1674417e-08, -6.1926904e-09, -1.5481726e-09, -6.1926904e-09, -3.0963452e-09, 0.0, 1.2385381e-08, 3.0963452e-09, 6.1926904e-09, 0.0, -1.2385381e-08, 7.740863e-10]",0.5885173,0.007819521,2722.4028671166016,1.3584682,19.348324792434187,0.0032366596,[ 80.49958882  89.99958882  98.99958882 106.99958882 114.99958882],385.59508558300035,0.00586213,Disgusted
15,0.4113390006034887,1861.092723499645,"[-5.4186042e-09, 2.1674417e-08, -8.127906e-09, -1.08372085e-08, 1.08372085e-08, 9.482557e-09, 0.0, 2.7093021e-09, 1.7610462e-08, 8.127906e-09, 0.0, 0.0, 2.1674417e-08, -2.7093021e-09, 1.08372085e-08, 0.0, 0.0, 0.0, -1.08372085e-08, 6.7732553e-09]",0.53136396,0.012141648,2565.3328236065445,1.449788,20.567483843356413,0.0087497085,[101.0234375 111.0234375 121.5234375],323.9431858042013,0.01525224,Disgusted
0,0.39332470901957445,1570.2519955842392,"[1.1846886e-08, 1.1846886e-08, 0.0, 0.0, 5.923443e-09, 0.0, 0.0, 0.0, -1.1846886e-08, -5.923443e-09, 0.0, -8.885165e-09, 0.0, -8.885165e-09, 0.0, 0.0, -2.3693772e-08, 1.1846886e-08, 0.0, -1.1846886e-08]",0.40614647,0.0107706105,2233.385124122915,1.5660924,18.920241349873105,0.0016009926,[51.9140625 68.9140625 86.4140625],382.7943041234362,0.0026847061,Disgusted
54,0.3709393424732842,1718.488533266129,"[1.5381843e-08, 0.0, -1.02545625e-08, 1.02545625e-08, -1.02545625e-08, -1.02545625e-08, 5.1272813e-09, 1.02545625e-08, -2.0509125e-08, 0.0, 5.1272813e-09, 0.0, -1.02545625e-08, 0.0, 0.0, -1.02545625e-08, 3.845461e-09, 2.0509125e-08, 2.5636406e-09, 0.0]",0.4488543,0.005491419,2474.1857581561917,1.2672554,23.79759931242482,0.0054870313,[ 61.6796875  74.1796875  89.1796875 101.6796875],305.03245467213566,0.007819691,Neutral
59,0.2937482828462794,1634.9139970602448,"[-9.831694e-09, 0.0, 4.915847e-09, 0.0, 1.4747541e-08, -4.915847e-09, 9.831694e-09, -1.8434426e-08, -2.2121311e-08, 4.915847e-09, -9.831694e-09, 2.4579235e-08, 0.0, 1.4747541e-08, 0.0, -2.4579234e-09, -1.2289617e-08, 0.0, 1.9663387e-08, 1.9663387e-08]",0.43143016,0.00570298,2423.156186304025,1.1607146,24.65729406229602,0.010765707,[ 67.67357337  79.17357337  92.67357337 104.67357337],279.7051296622163,0.016221821,Neutral
74,0.32364566175079185,3035.00244140625,"[-7.947286e-09, 0.0, 0.0, -1.8165226e-08, 0.0, 0.0, 0.0, 0.0, 9.082613e-09, 2.8383165e-09, -2.0435879e-08, -1.3623919e-08, -9.082613e-09, 1.8165226e-08, 4.5413064e-09, 0.0, 0.0, -9.082613e-09, -1.0217939e-08, -9.082613e-09]",0.38221934,0.007122927,2818.981557699373,1.3107883,24.66491466249486,0.013300144,[ 63.5234375  74.0234375  84.5234375  94.5234375 104.5234375],429.18580655923597,0.018631749,Neutral
32,0.2830492621577629,1584.7981770833333,"[-1.0722529e-08, 5.0458958e-08, 1.0091791e-08, 1.892211e-08, 2.5229479e-09, 0.0, 2.5229479e-09, -2.0183583e-08, 1.0091791e-08, -2.0183583e-08, 0.0, -1.0091791e-08, 1.26147395e-08, -1.0091791e-08, 2.0183583e-08, -5.0458957e-09, -1.0091791e-08, -7.568844e-09, -1.0091791e-08, 7.568844e-09]",0.40344048,0.0039943564,2359.5768027076642,1.1654452,24.058827660538856,0.019033924,[35.62800481 55.12800481],322.35449764308487,0.027930498,Neutral
0,0.36200727399078086,2741.6647023168102,"[-1.9966087e-08, 0.0, -9.395806e-09, 1.8791612e-08, -9.395806e-09, 1.4093709e-08, 0.0, 6.107274e-08, 4.697903e-09, 0.0, 9.395806e-09, -4.697903e-09, -1.05702815e-08, -9.395806e-09, 1.8791612e-08, 0.0, 0.0, 1.8791612e-08, 1.4093709e-08, -3.7583224e-08]",0.2800474,0.011164241,2200.195452042387,1.2258843,25.19776256823126,0.008152337,[ 60.19200721  73.19200721  87.69200721 102.19200721 115.19200721],454.49993312321135,0.011516831,Neutral
34,0.32213028696629126,3288.8255152209053,"[-2.1923547e-08, 0.0, -1.644266e-08, 5.480887e-09, -5.480887e-09, 2.7404434e-09, -2.1923547e-08, 2.6719324e-08, -1.0961774e-08, 2.7404434e-09, -1.0961774e-08, 2.1923547e-08, 0.0, 4.110665e-09, 0.0, -1.0961774e-08, -1.0961774e-08, 0.0, 0.0, 4.3847095e-08]",0.41247356,0.016154686,2501.2714023233316,1.5705508,22.657145714347457,0.0049879192,[ 73.5234375  84.0234375  94.0234375 105.5234375 116.0234375],389.34076694240827,0.007562843,Sad
92,0.3162545360253556,2309.772491455078,"[1.7881394e-08, 0.0, 5.9604646e-09, -1.1920929e-08, 0.0, 0.0, -1.1920929e-08, 1.1920929e-08, 1.7881394e-08, 0.0, 0.0, -1.1920929e-08, 2.9802323e-09, 0.0, -2.9802323e-09, 0.0, -5.9604646e-09, 0.0, -5.9604646e-09, 0.0]",0.42473656,0.004899506,2045.503802935959,1.5748203,21.48405460945788,0.017493412,[36.99979441 55.99979441 75.49979441],375.01568794844644,0.026650554,Sad
46,0.37364429428382634,1854.5795486634036,"[2.8007001e-08, 0.0, -2.872513e-09, 1.1490052e-08, 0.0, 5.385962e-09, 1.5080694e-08, -3.5906413e-09, 5.745026e-09, -2.5134488e-09, 0.0, -5.745026e-09, -1.1490052e-08, 1.4362564e-09, -1.7235077e-08, 0.0, 4.3087693e-09, 0.0, 0.0, 0.0]",0.47037956,0.010320981,2587.31603958681,1.4227659,21.331138684591586,0.005320488,"[106.78515625 113.78515625 120.78515625 127.28515625 133.78515625
 139.78515625]",262.29283478582954,0.008700413,Sad
0,0.43645644315531157,2870.983662049463,"[-1.1701525e-08, 2.340305e-08, 5.8507625e-09, 0.0, 5.1194173e-09, -8.776144e-09, 1.7552289e-08, -1.4626906e-09, 8.776144e-09, 5.8507625e-09, 2.340305e-08, 0.0, 0.0, 1.1701525e-08, 5.8507625e-09, 0.0, 0.0, 2.340305e-08, 0.0, 2.194036e-09]",0.4604698,0.011328921,2625.9719956708,1.4479879,20.75231067152629,0.02052913,"[118.16601562 124.16601562 130.16601562 135.66601562 141.66601562
 147.16601562 152.66601562]",445.2710768769899,0.03274981,Sad
25,0.4871328573781376,799.5784983915441,"[2.454309e-08, 1.4024622e-08, 0.0, -7.012311e-09, 0.0, 0.0, 7.012311e-09, -7.012311e-09, 1.4024622e-08, -1.0518467e-08, 1.4024622e-08, 7.012311e-09, -3.5061556e-09, 0.0, -7.012311e-09, -7.012311e-09, -2.1036934e-08, 1.0518467e-08, -1.4024622e-08, 0.0]",0.4740293,0.0048508407,2743.4420425609733,1.1541395,19.905059056882408,0.001236098,[48.17716734 63.67716734],372.5505053716395,0.0023288133,Sad
6,0.33941328228079704,3502.13623046875,"[-1.05963815e-08, 2.9802323e-09, 2.9802323e-09, 1.2583203e-08, 4.635917e-09, -5.2981908e-09, 2.6490954e-09, 7.1194437e-09, -9.271834e-09, 1.1920929e-08, 2.6490954e-09, -9.271834e-09, 4.635917e-09, 7.947286e-09, 0.0, -1.05963815e-08, 6.9538753e-09, -7.6161495e-09, 0.0, -6.6227385e-10]",0.3247058,0.008031447,2301.485538227801,2.1428914,24.99626173730472,0.022574915,[49.14257812 62.64257812],278.42168365763456,0.027955968,Surprised
5,0.26273958822209986,3032.5927734375,"[-1.6857879e-08, 6.020671e-09, 2.7845604e-09, -1.3245477e-08, -1.8062014e-09, -7.2248056e-09, 6.020671e-10, -3.0103355e-09, 1.2041342e-09, -7.2248056e-09, 0.0, -2.4082685e-09, 1.4449611e-08, -2.4082685e-09, -6.020671e-09, 3.6124028e-09, -1.2041342e-08, 1.2041342e-09, 1.2041342e-09, 5.4186042e-09]",0.31755418,0.007901111,2106.9632156438133,2.0676742,25.471142038356298,0.026460234,[60.22691761 71.22691761 82.22691761 94.72691761],267.9930379634477,0.032061208,Surprised
4,0.2467215831020584,2841.2153496799697,"[-7.1812827e-09, 3.5906413e-09, -6.4631545e-09, -8.617539e-09, -1.0053795e-08, -1.1669584e-08, 1.0771924e-08, -8.258475e-09, 0.0, 0.0, 1.4362564e-09, -1.0053795e-08, -1.4362564e-09, -1.4362564e-09, -7.1812827e-09, 1.2926309e-08, 1.8671335e-08, -8.258475e-09, 8.9766035e-09, 5.565494e-09]",0.29407623,0.006273646,2078.0832487365337,2.176245,25.630069262648558,0.021998085,[66.09960938 75.59960938 85.09960938 95.09960938],264.00699094878473,0.025864635,Surprised
5,0.2706026835084011,2954.632628790223,"[-5.90145e-09, -9.44232e-09, 1.18029e-09, -8.26203e-09, 2.36058e-09, 3.54087e-09, 3.54087e-09, 4.72116e-09, -1.062261e-08, 7.08174e-09, 0.0, 1.298319e-08, 0.0, 5.90145e-09, 9.44232e-09, 7.08174e-09, 1.062261e-08, 5.3850733e-09, -7.08174e-09, -1.18029e-09]",0.33761325,0.0052394453,2241.587719522669,2.082337,25.331547672553658,0.023545006,[49.64257812 65.64257812 79.64257812],270.6063580406873,0.02988062,Surprised
